powerTypes
PowerName,PowerID,OrderID,DevNotes,MissionTags,Priority,CastSoundEvent,HitSoundEvent,ItemHitSoundEvent,TargetMethod,ParentItem,OriginPower,IsAirPower,IsSignature,IsAntiair,SigModeSwapsMove,AoERadiusX,AoERadiusY,CenterOffsetX,CenterOffsetY,CastImpulseX,CastImpulseY,FireImpulseX,FireImpulseY,FireImpulseMaxX,ImpulseMaxOnDCOnly,SpeedLimit,SpeedLimitY,SpeedLimitAttack,SpeedLimitBackward,SpeedLimitAttackBackward,SelfImpulseOnHit,EndOnHit,CancelGravity,WallCancel,AllowMove,AllowRecoverMove,AllowJumpDuringRecover,AllowLeaveGround,AllowHitOnZeroDamage,AccelMult,BackwardAccelMult,TurnOffDampening,KeepGroundFriction,IgnoreGroundRestrict,DoNotBounceOffNoSlideCeiling,NoSlideCeilingBuffer,CastAnim,Hurtbox,CastTime,FixedRecoverTime,RecoverTime,AntigravTime,GCancelTime,IgnoreForcedFallTime,ShowCloudTime,CooldownTime,IgnoreCDOverride,OnHitCooldownTime,ShakeTime,DisableShake,OnlyShakeOnce,ShakeAllCams,FixedMinChargeTime,MinCancelTime,LoseInvulnTime,BaseDamage,VariableImpulse,FixedImpulse,MinimumImpulse,PostHitDamageMultiplier,PostHitImpulseMultiplier,ImpulseOffsetX,ImpulseOffsetY,ImpulseOffsetMaxX,ImpulseToPoint,ToPointChangeX,ToPointChangeY,ToPointChangeDmg,LockTo45Degrees,DownwardForceMult,MirrorImpulseOffset,MirrorOffsetCenter,IgnoreStrength,AcceptInput,HeldDirOffsets,DIMaxAngle,ImpulseOnHeavy,ItemSpeedDamage,ItemSpeedImpulse,ItemHitElasticity,AirTimeMultOnly,IsMultihit,MinTimeBetweenHits,InheritAlreadyHit,InterruptThreshold,CanDamageEveryone,CanAssist,ConsumesWeapon,FixedStunTime,HoldHitEnts,HoldOffsetX,HoldOffsetY,UpdateHeldEnts,DestroysItemOnHit,GrabInterpolateTime,GrabAnim,GrabAnimSpeed,GrabForceUpdate,Uninterruptable,CanChangeDirection,ComboName,ComboOverrideIfHit,ComboOverrideIfRelease,ComboOverrideIfWall,ComboOverrideIfButton,OriginOverrideIfInMode,ComboOverrideIfDir,ComboOverrideIfInterrupt,IgnoreButtonOnHit,IgnoreButtonOnMiss,ComboUseSameTargetPos,UseCollisionAsTargetPos,ComboUseTargetAsSource,ComboUseSameSourcePos,BGPowerOnFire,BGCastIdx,AllowBGInterrupt,PopulateActivePowerHits,PopulateBGHits,ExhaustedVersion,GCVersion,MomentumVersion,TeamTauntPower,AnimLayer,FXLayer,IsWorldCastGfx,CustomArtCastGfx,DelayCastGfxToFirstFire,DelayCastGFXCleanUp,CastAnimSource,DoNotSendSync,IsThrow,CannotAttackAroundCorners,ForceHitThroughSoftPlat,ForceFaceRight,CollisionPowerOffSetX,CollisionPowerOffSetY,CastGfx.AnimFile,CastGfx.AnimClass,CastGfx.AnimScale,CastGfx.FireAndForget,CastGfx.MoveAnimSpeed,CastGfx.FlipAnim,CastGfx.Tint,CastGfxRotation,IsWorldFireGfx,IsAttackFireGfx,CustomArtFireGfx,FireAnimSource,FireGfx.AnimFile,FireGfx.AnimClass,FireGfx.AnimScale,FireGfx.FireAndForget,FireGfx.MoveAnimSpeed,FireGfx.FlipAnim,FireGfx.Tint,FireGfxRotation,IsWorldHitGfx,OnlyOnceHitGfx,OwnerFacingHitGfx,PlayHitGfxBehind,HitAnimSource,HitReactAnim,HitGfx.AnimFile,HitGfx.AnimClass,HitGfx.AnimScale,HitGfx.FireAndForget,HitGfx.Tint
Template,0,0,IgnoreMe,"--,--,--",50,WEP_wwise_event_name,IMP_wwise_event_name,IMP_wwise_event_name,PBAoE,None,Template,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,"0,0","0,0","0,0",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1,1",1,false,false,false,false,0,----,----,"time,time,...",0,0,0,0,0,0,0,false,0,0,false,false,false,0,0,0,0,0,0,0,0,0,"0,0",0,"0,0",FALSE,0,0,0,FALSE,1,FALSE,0,FALSE,FALSE,"LEFT,RIGHT,UP,DOWN",0,0,0,0,1,false,false,0,false,0,false,false,false,0,false,0,0,false,false,32,---,1,false,false,false,----,----,---,---,---,---,FORWARD:---,---,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,---,-1,false,false,false,----,----,----,----,TOPorBOTTOM,TOPorBOTTOM,FALSE,FALSE,FALSE,FALSE,Feet,False,False,False,False,False,0,0,CastGfx,----,0,TRUEorFALSE,1,FALSE,Hex Color,0,FALSE,FALSE,FALSE,Feet,FireGfx,----,0,TRUEorFALSE,1,FALSE,Hex Color,0,FALSE,FALSE,FALSE,FALSE,Feet,----,HitGfx,----,0,TRUEorFALSE,Hex Color
BaseNeutral,1,1,Unarmed Combo 1,Unarmed,,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,,,,,,45,33,76,4,,,0,0,,,,,37,,,TRUE,,,,,,,,,,,,,,,,AttackCombo1,UnarmedNLight,5:2@2-2,,3,4,,,,16,,11,1,,,,,,1,3,0,25,,,,100,-48,,15,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,BaseNeutralCombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseNeutralCombo,2,2,"Unarmed Combo 2 -if hit, goes to Unarmed Combo3",,,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,BaseNeutral,,,,,22&37,37&36,51&74,-8&-29,,,0,0,,,,,,,,TRUE,,,,,,,,,,,,,,,,AttackCombo2,UnarmedNLight2,6:5@3-4,0,0,1,,,8,,,,1,,,,,,,3,0,20,,,,110,-20,,18,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,BaseNeutralMiss,BaseNeutralHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseNeutralHit,3,3,Unarmed Combo 3,,,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,BaseNeutral,,,,,44,65,61,-2,,0,0,0,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,AttackCombo3,UnarmedNLight3,6:2@3-3,,3,4,,,0,,,,4,,,,,,,3,0,26,,,,120,-15,,23,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,BaseNeutralHit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseNeutralHit2,4,4,Unarmed Combo 4,,,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,BaseNeutral,,,,,"150,150,150,58","80,80,80,31","50,50,50,39","15,15,15,10",,0,"30,40,30,10~10~0",0,,,,,,,,,,TRUE,,,,,,,,,,,,,,AttackCombo4,UnarmedNLight4,"3@2,3@3,3@4,2:4@5-6",,22,,15,,0,,,,,,,,,,,"0,0,0,5","0,0,0,31","0,0,0,52",,,,1000,-250,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseNeutralMiss,5,5,Unarmed Combo 2 -Recover on miss,,,,,,Nobody,Unarmed,BaseNeutral,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,UnarmedNLight2,0,2,9@end14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAir,6,6,Unarmed Air Neutral Light- part 1,"Unarmed,Aerial",,WEP_Unarmed_Kick_Light_Play,IMP_Unarmed_Kick_Play,,PBAoE,Unarmed,,TRUE,,,,34&35&15,53&42&15,63&59&46,-10&10&46,,,0,-10,,,,,37,,,TRUE,,,,TRUE,,,,,0,,,,,,,AttackAir,UnarmedNAir,7:4@3-4,,0,,,,,7,,7,,,,,,,3,3,,40,,,,68,-11,,20,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,BaseAirCombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseAirCombo,7,7,Unarmed Air Neutral Light- part 1,,,WEP_Unarmed_Kick_Light_Play,IMP_Unarmed_Kick_Play,,PBAoE,Unarmed,BaseAir,TRUE,,,,47&30,27&25,75&44,4&32,,,0,-10,,,,,,,,TRUE,,,,TRUE,,,,,0,,,,,,,,UnarmedNAir,8:4@8-9,,4,,,,,,,,,,,,,,,3,,40,,,,115,-25,,26,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,BaseAirMiss,BaseAirHit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
BaseAirMiss,8,8,"Unarmed Air Neutral Light- if part 1 misses, just adds recover time",,,,,,PBAoE,Unarmed,BaseAir,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,UnarmedNAir,0,1,15@17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaseAirHit,9,9,Unarmed Air Neutral Light- part 2 if part 1 hits,,,WEP_Unarmed_Punch_Light_Play,IMP_Unarmed_Punch_Play,,PBAoE,Unarmed,BaseAir,TRUE,,,,67,33,51,8,,,-10,-10,,,,,,,,TRUE,,TRUE,,TRUE,,,,,0,,,,,,,AttackAirDown2Hit,UnarmedNAir2,8:4@4-5,,22@15,,,,,,,,,,,,,,,5,37,71,,,,800,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TargetCenter,,SFX_HitReacts.swf,a_HitReact_Random_1_4,1.5,true,
